epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
22.0,2160.0,2160.0,1958.0,906.0,0.0092,39.8346,,
23.0,2160.0,2160.0,1895.0,877.0,0.0089,39.9562,,
25.0,2160.0,2160.0,1904.0,881.0,0.009,39.9669,,
26.0,2160.0,2160.0,1910.0,884.0,0.0089,40.0033,,
27.0,2160.0,2160.0,1905.0,882.0,0.0088,40.0738,,
29.0,2160.0,2160.0,1895.0,877.0,0.0089,40.0615,,
30.0,2160.0,2160.0,1894.0,877.0,0.0087,40.1565,,
31.0,2160.0,2160.0,1895.0,877.0,0.0088,40.0273,,
33.0,2160.0,2160.0,1906.0,883.0,0.0086,40.256,,
34.0,2160.0,2160.0,1898.0,879.0,0.0087,40.1467,,
35.0,2160.0,2160.0,1899.0,879.0,0.0088,40.1431,,
37.0,2160.0,2160.0,1916.0,887.0,0.0089,40.2067,,
38.0,2160.0,2160.0,1898.0,879.0,0.0087,40.2637,,
39.0,2160.0,2160.0,1897.0,878.0,0.0088,40.1254,,
41.0,2160.0,2160.0,1945.0,900.0,0.0088,40.0304,,
42.0,2160.0,2160.0,1933.0,895.0,0.0087,40.1902,,
