epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,540.0,540.0,238.0,440.0,0.0354,27.7117,,
2.0,540.0,540.0,205.0,380.0,0.0335,28.0745,,
3.0,540.0,540.0,206.0,381.0,0.0326,28.4661,,
4.0,540.0,540.0,237.0,439.0,0.0335,28.2374,0.0285,30.4365
5.0,540.0,540.0,207.0,383.0,0.0328,28.314,,
6.0,540.0,540.0,206.0,382.0,0.0325,28.3954,,
7.0,540.0,540.0,206.0,382.0,0.0325,28.4106,,
8.0,540.0,540.0,237.0,438.0,0.0327,28.4615,0.0281,30.566
9.0,540.0,540.0,205.0,381.0,0.0318,28.5537,,
10.0,540.0,540.0,206.0,381.0,0.0325,28.3198,,
11.0,540.0,540.0,206.0,381.0,0.032,28.6265,,
12.0,540.0,540.0,237.0,438.0,0.0316,28.6505,0.0279,30.6054
13.0,540.0,540.0,206.0,381.0,0.0321,28.4761,,
14.0,540.0,540.0,206.0,381.0,0.0322,28.4917,,
15.0,540.0,540.0,206.0,382.0,0.0319,28.7011,,
16.0,540.0,540.0,236.0,438.0,0.0324,28.5924,0.0278,30.6864
17.0,540.0,540.0,206.0,381.0,0.0315,28.7385,,
18.0,540.0,540.0,206.0,382.0,0.0322,28.5405,,
19.0,540.0,540.0,206.0,382.0,0.032,28.6419,,
20.0,540.0,540.0,237.0,438.0,0.0322,28.3422,0.0277,30.7227
21.0,540.0,540.0,206.0,381.0,0.0319,28.5771,,
22.0,540.0,540.0,207.0,383.0,0.0319,28.6591,,
23.0,540.0,540.0,207.0,384.0,0.0316,28.7692,,
24.0,540.0,540.0,238.0,441.0,0.0312,28.7535,0.0276,30.7349
25.0,540.0,540.0,206.0,382.0,0.0322,28.5483,,
26.0,540.0,540.0,207.0,383.0,0.0313,28.7394,,
27.0,540.0,540.0,206.0,382.0,0.0313,28.7443,,
28.0,540.0,540.0,237.0,439.0,0.0318,28.5676,0.0275,30.791
29.0,540.0,540.0,206.0,382.0,0.0312,28.9247,,
30.0,540.0,540.0,207.0,383.0,0.0316,28.6436,,
31.0,540.0,540.0,206.0,382.0,0.0319,28.6402,,
32.0,540.0,540.0,237.0,438.0,0.0311,28.8907,0.0275,30.7888
33.0,540.0,540.0,206.0,382.0,0.0316,28.7444,,
34.0,540.0,540.0,207.0,383.0,0.0317,28.6677,,
35.0,540.0,540.0,207.0,382.0,0.0319,28.5947,,
36.0,540.0,540.0,236.0,437.0,0.032,28.5043,0.0275,30.8056
37.0,540.0,540.0,206.0,382.0,0.0316,28.7478,,
38.0,540.0,540.0,206.0,382.0,0.0317,28.6518,,
39.0,540.0,540.0,207.0,384.0,0.0312,28.8243,,
40.0,540.0,540.0,238.0,440.0,0.0314,28.844,0.0274,30.8229
41.0,540.0,540.0,206.0,382.0,0.0317,28.7231,,
42.0,540.0,540.0,206.0,382.0,0.0315,28.7939,,
