submitted_at,job_id,scale,batch_size,depth,run_name,log_dir,model_dir
2025-11-14T08:17:52+01:00,7609632,0.20,8,4,exp1_depth4_scale0.20,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.20_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.20_20251114-081752
2025-11-14T08:17:52+01:00,7609633,0.30,8,4,exp1_depth4_scale0.30,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.30_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.30_20251114-081752
2025-11-14T08:17:52+01:00,7609634,0.40,8,4,exp1_depth4_scale0.40,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.40_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.40_20251114-081752
2025-11-14T08:17:52+01:00,7609635,0.50,6,4,exp1_depth4_scale0.50,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.50_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.50_20251114-081752
2025-11-14T08:17:52+01:00,7609636,0.60,4,4,exp1_depth4_scale0.60,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.60_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.60_20251114-081752
2025-11-14T08:17:52+01:00,7609637,0.70,2,4,exp1_depth4_scale0.70,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.70_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.70_20251114-081752
2025-11-14T08:17:52+01:00,7609638,0.80,1,4,exp1_depth4_scale0.80,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.80_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.80_20251114-081752
2025-11-14T08:17:52+01:00,7609639,0.90,1,4,exp1_depth4_scale0.90,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/logs/exp1_depth4_scale0.90_20251114-081752,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_1_constant_depth_4/runs/models/exp1_depth4_scale0.90_20251114-081752
