epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,540.0,540.0,313.0,579.0,0.0275,29.9338,,
2.0,540.0,540.0,275.0,509.0,0.0258,30.429,,
3.0,540.0,540.0,275.0,509.0,0.0248,30.9243,,
4.0,540.0,540.0,317.0,588.0,0.0255,30.7108,0.0219,32.7967
5.0,540.0,540.0,275.0,509.0,0.0249,30.8176,,
6.0,540.0,540.0,275.0,510.0,0.0246,30.9391,,
7.0,540.0,540.0,275.0,510.0,0.0247,30.9393,,
8.0,540.0,540.0,317.0,586.0,0.0249,30.9706,0.0216,32.9415
9.0,540.0,540.0,275.0,508.0,0.0241,31.1002,,
10.0,540.0,540.0,275.0,510.0,0.0246,30.9032,,
11.0,540.0,540.0,275.0,510.0,0.0241,31.1997,,
12.0,540.0,540.0,316.0,585.0,0.0238,31.2145,0.0214,33.0186
13.0,540.0,540.0,275.0,509.0,0.0242,31.059,,
14.0,540.0,540.0,275.0,509.0,0.0243,31.0719,,
15.0,540.0,540.0,275.0,510.0,0.0241,31.2355,,
16.0,540.0,540.0,316.0,586.0,0.0245,31.1747,0.0213,33.06
17.0,540.0,540.0,275.0,509.0,0.0238,31.3053,,
18.0,540.0,540.0,276.0,511.0,0.0243,31.1224,,
19.0,540.0,540.0,276.0,511.0,0.0242,31.1697,,
20.0,540.0,540.0,317.0,587.0,0.0243,30.9453,0.0212,33.0042
21.0,540.0,540.0,276.0,511.0,0.024,31.1708,,
22.0,540.0,540.0,276.0,512.0,0.024,31.2364,,
23.0,540.0,540.0,276.0,511.0,0.0238,31.3717,,
24.0,540.0,540.0,316.0,586.0,0.0235,31.3339,0.0212,33.0688
25.0,540.0,540.0,276.0,511.0,0.0244,31.1226,,
26.0,540.0,540.0,276.0,510.0,0.0236,31.3258,,
27.0,540.0,540.0,276.0,512.0,0.0234,31.3601,,
28.0,540.0,540.0,317.0,587.0,0.0241,31.1476,0.0212,33.1038
29.0,540.0,540.0,276.0,511.0,0.0235,31.5191,,
30.0,540.0,540.0,276.0,511.0,0.0238,31.2274,,
31.0,540.0,540.0,275.0,509.0,0.0241,31.2378,,
32.0,540.0,540.0,317.0,587.0,0.0234,31.5097,0.0211,33.1735
33.0,540.0,540.0,276.0,511.0,0.0238,31.3212,,
34.0,540.0,540.0,275.0,510.0,0.0239,31.2575,,
35.0,540.0,540.0,276.0,512.0,0.024,31.1681,,
36.0,540.0,540.0,317.0,586.0,0.0242,31.0856,0.021,33.2256
37.0,540.0,540.0,279.0,516.0,0.0238,31.3566,,
38.0,540.0,540.0,276.0,511.0,0.0239,31.2513,,
39.0,540.0,540.0,275.0,509.0,0.0234,31.4627,,
40.0,540.0,540.0,317.0,587.0,0.0237,31.4466,0.021,33.252
41.0,540.0,540.0,275.0,509.0,0.0238,31.3214,,
42.0,540.0,540.0,276.0,511.0,0.0238,31.3677,,
43.0,540.0,540.0,276.0,511.0,0.0236,31.4584,,
44.0,540.0,540.0,317.0,587.0,0.0233,31.3569,0.0209,33.2568
45.0,540.0,540.0,277.0,513.0,0.0237,31.3408,,
46.0,540.0,540.0,275.0,510.0,0.0239,31.2414,,
47.0,540.0,540.0,276.0,511.0,0.0235,31.5154,,
