submitted_at,job_id,run_name,scale,batch_size,depth,log_dir,model_dir,config_path,status
2025-11-18T15:09:58+01:00,7662420,exp2_adaptive_depth_scale0.20,0.20,8,1,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.20_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.20_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.20_20251118-150958/exp2_adaptive_depth_scale0.20/config.json,pending
2025-11-18T15:09:58+01:00,7662421,exp2_adaptive_depth_scale0.30,0.30,8,2,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.30_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.30_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.30_20251118-150958/exp2_adaptive_depth_scale0.30/config.json,pending
2025-11-18T15:09:58+01:00,7662422,exp2_adaptive_depth_scale0.40,0.40,8,3,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.40_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.40_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.40_20251118-150958/exp2_adaptive_depth_scale0.40/config.json,pending
2025-11-18T15:09:58+01:00,7662423,exp2_adaptive_depth_scale0.50,0.50,6,3,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.50_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.50_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.50_20251118-150958/exp2_adaptive_depth_scale0.50/config.json,pending
2025-11-18T15:09:58+01:00,7662424,exp2_adaptive_depth_scale0.60,0.60,4,4,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.60_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.60_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.60_20251118-150958/exp2_adaptive_depth_scale0.60/config.json,pending
2025-11-18T15:09:58+01:00,7662425,exp2_adaptive_depth_scale0.70,0.70,2,5,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.70_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.70_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.70_20251118-150958/exp2_adaptive_depth_scale0.70/config.json,pending
2025-11-18T15:09:59+01:00,7662426,exp2_adaptive_depth_scale0.80,0.80,1,5,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.80_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/models/exp2_adaptive_depth_scale0.80_20251118-150958,/home/knarwani/thesis/git/Adaptive-Depth-U-Net-for-Image-Super-Resolution-Segmentation/Segmenation/experiments/experiment_2_adaptive_depth/runs/logs/exp2_adaptive_depth_scale0.80_20251118-150958/exp2_adaptive_depth_scale0.80/config.json,pending
