scale,psnr_mean,psnr_std,ssim_mean,ssim_std,msssim_mean,msssim_std,mse_mean,mse_std,samples
0.2,inf,nan,0.7352470340887463,0.1825789308320079,0.9185123794969418,0.06413405747436644,0.002957718583892683,0.003936647138011597,3598
0.3,32.28113494627074,9.604805168454691,0.8180894769351306,0.13608820518969372,0.9607644082275346,0.03357801937049206,0.001933689645301877,0.002822707575628131,3598
0.4,34.3560413161273,9.279722031031959,0.8804664621756035,0.09711634615127226,0.9801601276853603,0.01830430151670163,0.0012214168897190984,0.0018277091998353653,3598
0.5,37.75952522856716,9.135293317251353,0.9356773998619385,0.06102519364392424,0.996873027039873,0.0031378646534051895,0.0005889285171601205,0.0009052025706294629,3598
0.6,38.98527676718576,8.679841621063044,0.9523197344735703,0.04701702932672538,0.9946495814082223,0.006302171156932461,0.0004159511498390931,0.0006293463604425125,3598
0.7,39.977756857010576,8.471253217587318,0.964418121332457,0.03569425026250307,0.996312255028422,0.004158258526810361,0.00032089704204265094,0.0004750274208232656,3598
0.8,40.61242202336819,8.4910865818895,0.9728002728622048,0.026753059396346136,0.9971993197130454,0.002938414832469821,0.00026840757966397325,0.0003859643052373099,3598
